text	จจจจึ	แปลงรหัส
"LF""1000011"""		
"LF""1000009"""		
"LF""1000006"""		
"LF""1000007"""		
"LF""1000008"""		
"LF""1000005"""		
"LF""1000004"""		
"LF""1000003"""		
"LF""1000002"""		
"LF""1000001"""		
